target,source,value
Verv,Crowdcube,112445
Browsa,Crowdcube,117738
Elifinty,Crowdcube,125695
BlockHosts.io,Crowdcube,162139
Sendit.Money,Crowdcube,193379
Service Robotics,Crowdcube,230011
Imployable,Crowdcube,278948
Magnetto,Crowdcube,296118
Nova Money,Crowdcube,302783
Numerous,Crowdcube,303101
SaigolEd,Crowdcube,363367
Drone Ag,Crowdcube,374613
Stratiphy,Crowdcube,387600
Drone Ag,Crowdcube,392555
Blind Cupid,Crowdcube,418148
Football Fan,Crowdcube,430084
Crover,Crowdcube,449863
BitcoinPoint,Crowdcube,451029
VitraCash,Crowdcube,472984
Qi,Crowdcube,517117
Virtuoso,Crowdcube,538134
Valkyrie Industries,Crowdcube,540274
VitraCash,Crowdcube,544974
Picfair,Crowdcube,560554
Common Objective (CO),Crowdcube,587493
Freehand,Crowdcube,596765
PCL Health,Crowdcube,711443
Service Robotics,Crowdcube,733833
Tred,Crowdcube,868434
Freehand,Crowdcube,918707
Hoptroff,Crowdcube,1074325
ARROE,Crowdcube,1134663
Genuine Impact,Crowdcube,1197510
42 Genetics,Crowdcube,1219236
Chip,Crowdcube,1222991
Tred,Crowdcube,1245001
Zzish,Crowdcube,1260291
Money Dashboard,Crowdcube,1283482
The Small Robot Company,Crowdcube,1411642
Lumio Technologies,Crowdcube,1467859
Pockit,Crowdcube,1504530
BABB,Crowdcube,1818440
InvestEngine,Crowdcube,1839958
CoGrammar,Crowdcube,2552085
Coconut,Crowdcube,2803213
Hoptroff,Crowdcube,2915435
Boring Money,Crowdcube,3022401
Crowdcube,Crowdcube,3344769
TaxScouts,Crowdcube,3961677
WiseAlpha,Crowdcube,4019097
Penfold,Crowdcube,4363122
Emma,Crowdcube,4366698
Central Plains Group,Crowdcube,4422345
The Credit Thing,Crowdcube,4626998
CIRCA5000,Crowdcube,5358798
The Small Robot Company,Crowdcube,5541721
Chip,Crowdcube,8610124
Plum Fintech,Crowdcube,8955709
what3words,Crowdcube,9462065
Freetrade,Crowdcube,11148033
Chip,Crowdcube,14940094
Pynk,Funderbeam,2000000
Mopapp,Mopapp,358550
novoville,Public,1545161
brytlyt,SyndicateRoom,401995
Essentia Analytics,SyndicateRoom,495486
OR Productivity,SyndicateRoom,750106
ScaleXP,SyndicateRoom,851241
Radio Physics Solutions,SyndicateRoom,924867
incard,SyndicateRoom,944491
Appsumer,SyndicateRoom,1000000
Zzish,SyndicateRoom,1002394
Radio Physics Solutions,SyndicateRoom,1172329
SeeQuestor Ltd,SyndicateRoom,1384785
Antiverse,SyndicateRoom,1945782
Autologyx,SyndicateRoom,2018274
ThoughtRiver,SyndicateRoom,4000000
ThoughtRiver,SyndicateRoom,10000000
Trace Technologies,Welsh Development Agency,1180000
